PROJECT,17896469
 , 
Code smells:
Duplicate scripts,0
Dead code,0
Initialization,0
Sprite naming,0
 , 
Skills of Computational Thinking:
Abstraction,2
Parallelization,3
Logic,0
Synchronization,2
FlowControl,2
UserInteractivity,2
DataRepresentation,2
SCORE:,13
 , 
 , 
PROJECT,17893669
 , 
Code smells:
Duplicate scripts,0
Dead code,1
Initialization,1
Sprite naming,1
 , 
Skills of Computational Thinking:
Abstraction,2
Parallelization,1
Logic,0
Synchronization,2
FlowControl,3
UserInteractivity,1
DataRepresentation,1
SCORE:,10
 , 
 , 
PROJECT,17896669
 , 
Code smells:
Duplicate scripts,0
Dead code,0
Initialization,1
Sprite naming,0
 , 
Skills of Computational Thinking:
Abstraction,2
Parallelization,1
Logic,0
Synchronization,1
FlowControl,1
UserInteractivity,1
DataRepresentation,1
SCORE:,7
 , 
 , 
PROJECT,19896669
 , 
Code smells:
Duplicate scripts,0
Dead code,0
Initialization,1
Sprite naming,0
 , 
Skills of Computational Thinking:
Abstraction,0
Parallelization,1
Logic,1
Synchronization,0
FlowControl,2
UserInteractivity,2
DataRepresentation,1
SCORE:,7
 , 
 , 
PROJECT,17896369
 , 
Code smells:
Duplicate scripts,0
Dead code,0
Initialization,1
Sprite naming,0
 , 
Skills of Computational Thinking:
Abstraction,2
Parallelization,2
Logic,2
Synchronization,2
FlowControl,2
UserInteractivity,2
DataRepresentation,1
SCORE:,13
 , 
 , 
PROJECT,17898669
 , 
Code smells:
Duplicate scripts,0
Dead code,0
Initialization,1
Sprite naming,1
 , 
Skills of Computational Thinking:
Abstraction,0
Parallelization,1
Logic,0
Synchronization,1
FlowControl,2
UserInteractivity,1
DataRepresentation,1
SCORE:,6
 , 
 , 
PROJECT,17892669
 , 
Code smells:
Duplicate scripts,0
Dead code,1
Initialization,2
Sprite naming,2
 , 
Skills of Computational Thinking:
Abstraction,2
Parallelization,1
Logic,0
Synchronization,0
FlowControl,1
UserInteractivity,1
DataRepresentation,1
SCORE:,6
 , 
 , 
